Date,Open,High,Low,Close
2015-09-03,854.05,860.75,844.4,853.85
2015-09-04,849.7,849.7,825.1,835.9
2015-09-07,838.25,844.0,827.7,833.2
2015-09-08,836.0,852.95,825.1,848.6
2015-09-09,861.0,878.7,850.5,874.05
2015-09-10,861.0,870.5,855.5,867.0
2015-09-11,872.0,876.1,856.2,860.95
2015-09-14,861.75,865.7,851.9,863.85
2015-09-15,862.0,870.0,855.6,868.15
2015-09-16,872.1,877.35,865.2,872.55
2015-09-18,878.45,899.5,877.15,895.4
2015-09-21,880.0,888.2,876.05,878.1
2015-09-22,880.0,884.9,844.5,847.9
2015-09-23,843.0,856.8,840.0,850.35
2015-09-24,848.0,848.0,834.75,837.35
2015-09-28,839.8,840.9,828.7,834.25
2015-09-29,830.0,850.25,826.1,840.75
2015-09-30,851.0,864.8,838.5,862.3
2015-10-01,873.95,873.95,858.6,864.7
2015-10-05,862.8,890.0,861.85,888.0
2015-10-06,895.65,900.5,885.75,898.05
2015-10-07,894.7,918.05,891.0,913.8
2015-10-08,914.9,914.9,886.25,889.1
2015-10-09,894.05,905.45,881.5,887.35
2015-10-12,888.0,901.6,888.0,891.75
2015-10-13,885.05,896.3,882.9,893.6
2015-10-14,895.8,905.0,893.95,902.95
2015-10-15,907.7,911.0,900.1,903.7
2015-10-16,904.5,914.8,903.7,912.15
2015-10-19,941.0,965.5,941.0,963.5
2015-10-20,965.0,966.7,953.0,956.7
2015-10-21,955.5,974.8,953.0,955.0
2015-10-23,963.95,973.05,941.15,955.65
2015-10-26,961.9,963.0,941.3,942.85
2015-10-27,938.8,948.25,937.4,939.55
2015-10-28,936.9,944.9,929.9,936.95
2015-10-29,936.0,945.0,934.95,941.0
2015-10-30,942.1,955.9,940.1,947.7
2015-11-02,949.0,961.5,945.2,959.8
2015-11-03,963.25,970.45,961.25,967.2
2015-11-04,968.0,975.0,946.2,951.3
2015-11-05,949.0,951.0,933.0,936.6
2015-11-06,939.45,954.75,937.9,952.4
2015-11-09,933.5,965.0,923.45,961.25
2015-11-10,957.0,959.5,916.3,922.75
2015-11-11,927.1,932.85,927.1,928.45
2015-11-13,915.05,938.55,914.5,933.05
2015-11-16,926.0,942.0,924.75,934.3
2015-11-17,938.05,938.9,926.2,927.75
2015-11-18,927.6,931.3,909.95,912.0
2015-11-19,918.9,938.7,917.25,934.75
2015-11-20,934.0,952.8,925.55,946.85
2015-11-23,950.0,957.9,946.2,953.75
2015-11-24,953.0,971.6,951.05,967.7
2015-11-26,971.0,991.95,968.25,988.65
2015-11-27,989.0,992.5,974.1,979.05
2015-11-30,978.5,984.4,962.3,965.85
2015-12-01,964.0,978.8,961.25,965.9
2015-12-02,966.25,979.7,964.5,977.95
2015-12-03,974.9,988.95,974.1,977.2
2015-12-04,972.3,976.2,961.4,965.45
2015-12-07,965.45,973.0,949.75,952.05
2015-12-08,948.9,953.6,936.1,940.9
2015-12-09,936.2,943.45,912.85,915.9
2015-12-10,922.5,953.8,920.0,950.35
2015-12-11,951.75,959.0,942.9,952.95
2015-12-14,947.6,963.5,946.0,955.1
2015-12-15,957.0,977.95,953.65,975.9
2015-12-16,975.9,987.55,973.5,978.65
2015-12-17,980.05,1015.0,978.0,1009.7
2015-12-18,1003.8,1009.0,990.0,991.9
2015-12-21,987.9,999.0,984.35,992.1
2015-12-22,992.8,1002.6,984.0,987.3
2015-12-23,991.8,1006.9,990.0,1003.8
2015-12-24,1003.9,1007.2,996.3,1000.55
2015-12-28,1000.6,1013.75,1000.0,1010.4
2015-12-29,1010.4,1018.7,1007.15,1015.4
2015-12-30,1015.0,1016.0,1002.0,1004.5
2015-12-31,1003.4,1019.7,999.1,1014.6
2016-01-01,1009.8,1018.9,1008.2,1015.35
2016-01-04,1005.0,1013.8,986.7,995.3
2016-01-05,1000.3,1010.0,997.0,1005.15
2016-01-06,1007.6,1038.4,1000.4,1032.2
2016-01-07,1021.05,1028.0,1008.05,1013.25
2016-01-08,1020.0,1032.9,1016.7,1025.75
2016-01-11,1015.95,1060.8,1011.0,1051.6
2016-01-12,1055.0,1065.4,1041.1,1045.45
2016-01-13,1053.1,1089.75,1047.2,1076.85
2016-01-14,1063.85,1081.0,1053.05,1061.65
2016-01-15,1069.75,1089.5,1065.6,1073.3
2016-01-18,1075.0,1083.95,1008.1,1016.85
2016-01-19,1029.0,1049.8,1014.1,1043.6
2016-01-20,1034.9,1034.9,990.0,1004.55
2016-01-21,1017.55,1025.75,976.7,984.2
2016-01-22,994.05,1011.0,994.05,1004.15
2016-01-25,1010.0,1018.75,1000.0,1003.95
2016-01-27,1008.1,1010.0,996.95,999.35
2016-01-28,1001.0,1021.8,997.1,1016.9
2016-01-29,1018.95,1040.0,1018.0,1035.4
2016-02-01,1039.95,1041.8,1025.55,1030.3
2016-02-02,1030.3,1032.8,990.5,1001.15
2016-02-03,988.0,994.0,975.0,981.4
2016-02-04,988.0,1001.0,965.7,973.05
2016-02-05,979.1,982.0,961.4,970.9
2016-02-08,971.1,984.8,957.95,961.05
2016-02-09,952.9,968.8,950.0,957.5
2016-02-10,951.7,973.0,948.65,962.65
2016-02-11,962.85,965.95,915.5,924.55
2016-02-12,933.9,933.9,888.1,906.55
2016-02-15,918.0,951.35,918.0,946.75
2016-02-16,951.1,958.0,927.0,930.55
2016-02-17,935.1,957.45,916.4,952.6
2016-02-18,962.95,968.7,936.0,940.1
2016-02-19,940.0,952.75,937.35,944.35
2016-02-22,944.1,968.3,944.1,962.3
2016-02-23,963.1,967.2,942.75,949.65
2016-02-24,944.9,958.55,942.0,952.65
2016-02-25,954.2,956.55,940.85,944.1
2016-02-26,953.0,958.75,944.3,950.35
2016-02-29,951.3,994.6,935.0,966.65
2016-03-01,964.7,985.05,964.65,981.3
2016-03-02,992.9,1005.75,987.25,1001.5
2016-03-03,1010.0,1018.0,997.5,1012.85
2016-03-04,1014.0,1015.0,1003.5,1006.4
2016-03-08,1007.5,1030.9,1007.5,1027.0
2016-03-09,1020.0,1043.9,1018.6,1041.7
2016-03-10,1042.05,1045.9,1009.0,1011.75
2016-03-11,1014.9,1029.55,1010.6,1014.5
2016-03-14,1019.1,1026.4,1012.95,1019.75
2016-03-15,1024.0,1027.85,1015.1,1020.5
2016-03-16,1021.0,1025.8,1005.45,1021.75
2016-03-17,1027.0,1036.9,1012.0,1016.0
2016-03-18,1018.25,1030.15,1015.7,1027.2
2016-03-21,1027.95,1041.5,1022.75,1037.3
2016-03-22,1037.0,1052.25,1035.65,1047.85
2016-03-23,1046.9,1046.9,1022.4,1029.2
2016-03-28,1030.0,1031.7,1015.65,1020.4
2016-03-29,1023.8,1042.0,1020.2,1036.25
2016-03-30,1042.7,1051.75,1042.7,1047.05
2016-03-31,1041.0,1056.0,1032.7,1045.2
2016-04-01,1039.1,1046.3,1025.0,1034.45
2016-04-04,1040.0,1042.2,1025.3,1035.05
2016-04-05,1031.35,1042.4,1022.2,1026.95
2016-04-06,1032.1,1036.7,1022.6,1033.75
2016-04-07,1034.9,1048.0,1022.1,1037.25
2016-04-08,1035.9,1054.45,1031.2,1036.35
2016-04-11,1037.0,1045.5,1033.0,1040.3
2016-04-12,1040.3,1057.45,1038.05,1047.4
2016-04-13,1052.55,1069.9,1052.55,1066.05
2016-04-18,1065.8,1066.8,1055.4,1064.75
2016-04-20,1069.2,1069.2,1035.8,1037.3
2016-04-21,1041.4,1052.0,1035.0,1041.15
2016-04-22,1039.0,1047.5,1029.3,1038.95
2016-04-25,1044.45,1044.45,1012.3,1016.9
2016-04-26,1015.4,1023.9,1007.5,1016.95
2016-04-27,1017.9,1025.95,1016.0,1019.4
2016-04-28,1014.0,1019.2,990.95,996.7
2016-04-29,993.45,998.55,978.85,982.7
2016-05-02,979.0,992.4,978.0,986.95
2016-05-03,988.0,994.95,972.75,975.8
2016-05-04,974.05,983.7,973.0,978.1
2016-05-05,980.0,983.45,970.9,975.25
2016-05-06,973.0,976.8,967.0,968.95
2016-05-09,975.0,986.0,972.8,983.1
2016-05-10,983.1,984.7,978.0,982.55
2016-05-11,971.8,980.75,970.0,975.4
2016-05-12,976.0,994.2,975.05,992.8
2016-05-13,988.95,990.55,975.0,978.15
2016-05-16,977.0,982.5,971.1,975.95
2016-05-17,980.25,983.1,966.35,969.15
2016-05-18,965.9,972.5,964.1,970.55
2016-05-19,971.7,971.9,945.6,951.2
2016-05-20,952.0,954.5,931.35,934.2
2016-05-23,937.35,940.7,925.65,930.0
2016-05-24,928.05,944.0,928.05,940.45
2016-05-25,949.85,952.8,941.15,951.2
2016-05-26,950.0,952.4,944.1,946.85
2016-05-27,949.05,976.9,948.75,974.7
2016-05-30,976.4,981.5,965.0,968.7
2016-05-31,969.0,973.0,956.5,957.85
2016-06-01,957.95,966.1,951.8,953.6
2016-06-02,954.5,957.15,945.1,956.25
2016-06-03,960.0,962.9,955.85,959.65
2016-06-06,961.0,963.0,952.55,954.8
2016-06-07,957.25,960.95,951.6,955.05
2016-06-08,958.0,958.0,949.15,954.1
2016-06-09,960.0,976.45,956.2,971.15
2016-06-10,974.0,984.4,968.3,976.7
2016-06-13,969.9,983.45,963.05,981.1
2016-06-14,980.95,985.4,969.3,976.25
2016-06-15,980.0,986.5,973.75,984.6
2016-06-16,981.0,983.65,967.05,976.3
2016-06-17,977.0,978.65,970.1,974.9
2016-06-20,972.15,992.6,968.0,990.2
2016-06-21,994.1,994.15,979.7,987.1
2016-06-22,985.0,985.9,977.1,980.5
2016-06-23,979.95,982.0,970.0,980.45
2016-06-24,964.9,964.9,933.4,951.45
2016-06-27,940.5,958.4,940.5,955.65
2016-06-28,956.4,961.55,955.0,957.8
2016-06-29,962.0,968.95,960.0,966.9
2016-06-30,972.0,977.5,967.05,969.15
2016-07-01,972.75,976.8,970.0,973.45
2016-07-04,975.5,993.6,975.5,986.7
2016-07-05,986.1,1002.9,980.3,993.1
2016-07-07,992.5,1000.5,986.15,987.9
2016-07-08,987.0,989.0,976.35,978.4
2016-07-11,991.0,994.95,985.5,992.5
2016-07-12,995.25,1005.0,991.0,1003.4
2016-07-13,1005.2,1016.7,1004.15,1008.75
2016-07-14,1008.1,1014.1,998.25,1004.9
2016-07-15,1009.0,1021.0,1003.5,1012.2
2016-07-18,1028.0,1038.75,1001.75,1006.25
2016-07-19,1006.0,1022.95,995.3,1017.8
2016-07-20,1019.95,1028.3,1016.55,1023.0
2016-07-21,1024.0,1025.0,1005.0,1006.35
2016-07-22,1006.0,1017.8,1005.1,1014.85
2016-07-25,1014.0,1023.75,1007.35,1022.75
2016-07-26,1023.0,1034.8,1015.2,1024.05
2016-07-27,1023.05,1026.0,1008.95,1013.1
2016-07-28,1014.95,1030.5,1013.05,1026.35
2016-07-29,1024.0,1024.9,1012.0,1014.9
2016-08-01,1018.0,1020.3,1005.05,1009.5
2016-08-02,1008.0,1020.0,1006.3,1012.8
2016-08-03,1014.4,1014.4,991.5,993.95
2016-08-04,999.0,1000.0,983.4,993.0
2016-08-05,998.0,1019.0,997.05,1016.25
2016-08-08,1019.9,1034.0,1018.65,1029.25
2016-08-09,1027.0,1034.5,1021.0,1030.7
2016-08-10,1031.25,1034.55,1002.0,1003.65
2016-08-11,1001.95,1022.85,999.6,1014.1
2016-08-12,1017.0,1042.9,1017.0,1035.8
2016-08-16,1036.25,1044.8,1015.5,1024.9
2016-08-17,1024.1,1028.8,1007.2,1013.3
2016-08-18,1016.0,1023.65,1016.0,1018.05
2016-08-19,1018.0,1022.0,1007.1,1014.9
2016-08-22,1012.0,1019.7,1007.2,1011.85
2016-08-23,1012.0,1015.0,1005.0,1010.45
2016-08-24,1011.7,1021.95,1011.0,1020.5
2016-08-25,1021.2,1029.0,1009.0,1012.7
2016-08-26,1017.9,1030.8,1014.6,1027.9
2016-08-29,1027.25,1059.75,1026.1,1057.45
2016-08-30,1062.0,1068.5,1053.0,1066.4
2016-08-31,1064.9,1074.0,1047.0,1060.0
2016-09-01,1053.0,1072.75,1025.7,1029.2
2016-09-02,1031.1,1032.55,1002.3,1013.35
2016-09-06,1019.9,1025.0,1015.0,1019.9
2016-09-07,1022.0,1027.05,1013.05,1017.65
2016-09-08,1023.05,1035.95,1020.2,1033.4
2016-09-09,1035.0,1049.9,1030.0,1044.55
2016-09-12,1030.4,1056.0,1029.15,1046.5
2016-09-14,1048.0,1059.0,1040.9,1044.75
2016-09-15,1047.0,1070.2,1047.0,1065.0
2016-09-16,1067.0,1093.85,1059.1,1075.55
2016-09-19,1072.55,1088.0,1071.0,1082.4
2016-09-20,1084.0,1084.75,1069.05,1074.2
2016-09-21,1074.0,1084.9,1069.0,1072.25
2016-09-22,1083.0,1095.8,1079.0,1088.95
2016-09-23,1089.0,1109.45,1089.0,1102.8
2016-09-26,1103.4,1129.55,1100.25,1107.2
2016-09-27,1117.0,1125.95,1106.6,1110.5
2016-09-28,1107.9,1108.0,1086.3,1090.65
2016-09-29,1095.0,1110.75,1067.4,1072.45
2016-09-30,1068.0,1094.55,1066.3,1083.7
2016-10-03,1087.0,1107.95,1076.25,1090.7
